,Métrica,Valor,,,,,,,,PROGRESO
LexLatin,Automatización en Make - Ágora,Edgar/ Jonathan,8-sept,12-dic,Octubre,Alta,On Hold,,,"09-03 Reunión con Rosa Emilia, tomando caso de José. No se necesita actualización. Hacer resumen de casos trabajados  02/03 - pendiente aun sin update. 02/02 - Edgar convocó a reunión con Rosa Emilia informativa para retomar caso.
23/02 - no hay avances. 09/02 llamada entre lunes y miércoles a Rosa Emilia para seguimiento 06/02 - No se ha tenido respuesta a solicitud de reunión para redefinir roles y retomar requerimientos.
02/02 - Lider conversó con José / hay cambios con Rosa Emilia que son de José. 26/01 -  por retomar. 19/01 - On hold por retomar esta semana. 12/01 - estaba On Hold, por retomar.  (por probar) 15/12 - Reunión con José para actualizar.
08/12 - Solo pendiente archivos adjuntos / ya se maneja Inglés y quien es el remitente (para no enviar interno). 
01/12 - Lider habló el 25, el 28 se envía el mail al equipo completo.
24/11 - Se envia email a José (Ricardo) (el balón está del lado de LexLatin). 
10/11 - Edgar envía email. 
03/11 - Se espera mañana compartir resultados con José / Hubo reunión (Pregunta pendiente idioma en el que se genera la solicitud Inglés / Español - pendiente Portugues). Fase I: Participación como usuario de automatización. 
27/10 - Pendiente reunirnos Lider con José - esperando su respuesta. (ya hay formato en correo), correo cuando todo esta completo y otro cuando falta información. Falta integración con correo - comience a usarlo. 
20/10 - Reunión con José para mostar el avance con Make (falta plantilla enriquecida) . 
13/10 - 
1) Análisis de información por correo 
2) Análisis de la IA 
3) Revisión de nomencaltura (datos faltate)  - generación de Draft de correo. Analizando contenido de correo. 
22/09 - Trabajando en escenario con DeepSeek.
Contacto Lider con José 07/10/2025."
LexLatin,"Toque a Angela con Rocio, José y Nancy PP",Ricardo,27-oct,31-oct,Octubre,Alta,Listo,,,
LexLatin,"Automatizaciones de PerfilPlus Rocio
Esta semana es de pruebas de automatizaciones 
(Se notificará y semana que viene sesión)",Jonathan,15-sept,12/12,Septiembre,Alta,Listo,,,"09/02 Jou hará cambios en automatización, se enviará correo de prueba y llamada entre lunes y miércoles para saber que está todo OK 02/02- por retomar. 26/01 -  foco a tema comercial y landing - stand by. 19/01 - On hold por retomar esta semana.. 12/01 -  Jou retomando para pruebas. 15/12 - Ricardo envía correo de seguimiento.
08/12 - Lider revisó y pendiente hablar con Jonathan.
01/12 - Lider se va a reunir con Jonathan para ver cómo se le puede ayudar.
24/11 - Se envia email a Rocio. 
10/11 - Se envió email a Angela. 
03/11 - Pendiente archivo centralizado - toque Angela.
27/10 - Hay un issue con el archivo de fuente de datos. Archivo Master - Ricardo contactará a Angela. 
1) Comenzar con los datos de Rocio 2) Mostrar ya casos de automatización y dar acceso y ver que este de acuerdo y 3) escuchar a Tahimy. 
a.        Automatización de Notificaciones.
b.        Borrador de temas para publicaciones.
c.        Automatización de Registro en el Excel de Rocio. (Crear el registro)
d.        Incorporación de ayuda en las reuniones con clientes:
                                                    i.     - Levantamiento de la minuta (Uso de IA para reuniones).
                                                   ii.     - Vertido de comentarios en el Excel (o lo que sea). 
                                                  iii.     - Preparación de cuestionario (¿hay oportunidades de preparar este cuestionario de forma automatizada?) 
                                                iv.     - Envío de cuestionario y seguimiento.
20/10 - Próxima reunión con Rocio "
LexLatin,PERFILPLUS - Próxima junta de seguimiento con Nancy,Edgar/ Jonathan,16-oct,24-oct,Octubre,Alta,Listo,,,20/10 - se envía email de seguimiento Jonathan.
LexLatin,Ágora - Landing,Edgar,7-ene,9-ene,Enero,Alta,Listo,,,12/01 -  se hizo cambios en landign Ágora (Duplicado). 07/01 - en progreso - lider verá algo con Jonathan.
LexLatin,"Automatizaciones de PerfilPlus Rocio
",Jonathan,16-feb,28-feb,Febrero,Media,Listo,,,Requerimiento nuevo
LexLatin,Revisar error de Ágora - operaciones que no están cargados,Edgar,28-jul,28-nov,Septiembre,Alta,ON HOLD,,,"06/04-pendiente retomar esta semana. 30/03 - no se ha podido retomar - dandole priroridad a las landing y otros pendientes. 23-03 aún no se ha podido retomar las revisiones 09-03 Se notificó en reunión, depende de producción. 02/03 Se implementaron cambios en Base de datos y se validará que no hay errores en reunión con Rosa Emilia
02/02-pendinte hacer ajustes y cambios de hacerlo con Mauro. 15/12 - Se estima esté listo el 19/12.
24/11 - Se coloca aplicación en ambiente de prueba (pendiente de pasarlo a productivo). 
03/11 - Revisón de lider de error. 
27/10 - Falta integrar cambios en rama. 
20/10 - Falta colocar en producción. Edgar tiene configuración en Cloudways para a través de consulta poner en producción. 
17/09"
LexLatin,Ajuste de filtro Ágora Firmas,Edgar,28-jul,28-nov,Septiembre,Alta,ON HOLD,,,"06/04-pendiente retomar esta semana. 30/03 - no se ha podido retomar - dandole priroridad a las landing y otros pendientes. 23-03 aún no se ha podido retomar las revisiones09-03 Se notificó en reunión, depende de producción. 02/03 Se coordinará con Rosa Emilia en reunión convocada
15/12 - Se estima esté listo el 19/12.
24/11 - Pendiente pasarlo a producción. 
03/11 - Ya se informó a José que el foco es automatización pero estamos avanzando con esto. Dar toque a Jose Rivero. Sitio de prueba ya disponible (15-08). 
18/08/ en proceso pruebas, se envía email."
RankPilot,Hablar con Mauro RankPilot,Ricardo/Jonathan,23/02,27/02,Febrero,Alta,Listo,,,"09-03 se trabajó el fin de semana en l anueva version, se desa finalizar en 2 semanas. Mauro02/03 - dar toque para ver avances.  esta validando chat"
Interno,Aplicar ambientes de Desarrollo o QA,,,,,,,,,
RankPilot,Pruebas de MVP RankPilot,Ricardo/Jonathan,19-ene,19-ene,Enero,Alta,En Curso,,,"04-05 Angela y movida probando ultimos ajustes de capa de contexto solicitado 27-04 hoy se debe hacer la prueba segun planeacion 20-04 Hoy se continua con los avances y revisiones de angela 13-04 Ángela contactó el 12-04. Se sigue trabajando y probando.
06/04 - Ajustes de configuración de servidor. Pendiente revisión con Miguel. Toque Jonathan a grupo. 30/03 - Se subió servicio para RP y manejo de Promt con agentes. en pruebas las respuestas. Preguntar con Jonathan. 23-03 Tuvimos Reunión con Angela donde nos compartiria unos recuersos. Tenemos que revisarlos 09-03 se realizando pruebs pero se desea crear un ambiente de pruebas y ptro de desarrollo02/03 Mauro continua trabajando en el chat 16-02 Ángela revisó, Mauro hizo cambios, faltan nuevos ajustes 09-02 En proceso de revisión. "
CAB,Contacto con Karen + Subir inventario WMS,Ricardo,13-oct,17-oct,Octubre,Alta,Listo,,,Se subió inventario.
LexLatin,Automatización en Make - Ágora (enviar correo de estatus),Edgar,23-sept,23-sept,Septiembre,Alta,Listo,,,Se enviará correo en los adjuntos.
LexLatin,PerfilPlus + Ágora + Automatizaciones + costo USD 5 x 1K token + Make,Ricardo,15-sept,17-sept,Septiembre,Alta,Listo,,,
LexLatin,Actualización de Módulos de Drupal,Edgar,7-jul,29-sept,Septiembre,Alta,Stand By,,,en stand by imentras se soluciona otras prioridadesVersión 8.7 y el nuevo es 11.
LexLatin,Preparación de reporte de cierre de mes,Dasha,4-ago,12-ago,Agosto,Alta,Listo,,,Se envia el 12/08 a Ricardo para validar y enviar
DMS,Pruebas con máquina de DMS pruebas de licencia,Edgar / Dasha,14-jul,18-jul,Julio,Alta,Listo,,,Se propone fecha de prueba 30/07/2025. Realizado.
LexLatin,Toque a Angela de plan de Perfilplus,Ricardo,28-jul,31-jul,Julio,Alta,Listo,,,
DMS,Pruebas con máquina de DMS pruebas de licencia,Ricardo,14-jul,15-sept,Septiembre,Alta,Listo,,,"Se envió mensaje al Norma hoy 1-09, se envio toque hoy 08/09/2025,"
LexLatin,Hacer seguimiento y avanzar con PerfilPlus,Jonathan,4-ago,8-ago,Agosto,Alta,Listo,,,
LexLatin,"Revisión de tareas 1319, 1325 - 1336",Edgar,4-ago,8-ago,Agosto,Alta,Listo,,,
LexLatin,Revisión con Henry del número de WhatsApp,Ricardo,11-ago,11-ago,Septiembre,Alta,Listo,,,se vió con henry
LexLatin,AyudanteX,Edgar,7-jul,25-jul,Julio,Baja,Listo,,,Ver cómo conectamos un formulario / ver los datos / está con la cuenta de soporte M0vid4!5r
LexLatin ,Seguimiento de visitas,Ricardo,7-jul,7-jul,Julio,Alta,Listo,7-jul,1,Se envía email.
LexLatin,Data estudio - Tahimi,Ricardo,1-dic,,Diciembre,Alta,Listo,,,"Ya se agregó, fue respondido."
RDF,Revisión de la página,Dasha,1-dic,,Diciembre,Alta,Listo,,,
DMS,"Creación de correo - Cuenta office DMS 1, Cuenta office DMS 2. gracedmsmx es la anterior",Dasha,1-dic,,Diciembre,Alta,Listo,,,02/12 dmsgraciela.oceguera@gmail.com Movida2025!
RankPilot,Logo,Ricardo,1-dic,,Diciembre,Alta,Listo,,,"15/12 - En revisión primera versión. 
08/12 - En progreso"
LexLatin,Revisión de costo de certificado CloudFare,Edgar / Ricardo,1-dic,,Diciembre,Alta,Listo,,,08/12 - se envía email con confirmación de SSL.
RankPilot,Reunion Angela Ricardo,Ricardo,4-dic,,Diciembre,Alta,Listo,,,
LexLatin,Optimizar BlueHost costo,Edgar,7-jul,29-sept,Septiembre,Baja,Listo,,,"01/12/25 Se implementó certificado gratuito de cloudfare
27/10 - Se han estado revisando los crons y la migración - antesClowdways es compartido. Proponer OVH. Hay que ver si es neceario php superior a 7.3, se puede avanzar por certificado a ver si podemos reducir este costo. "
LexLatin,Ágora - pruebas de conexión base de datos Mauro,Edgar / Mauro,7-jul,11-jul,Julio,Alta,Listo,,,"Consolidado de operaciones, empresas y firmas."
CAB,Bajar código fuente,Edgar/Ricardo,12-ene,16-ene,Enero,Alta,Listo,,,26/01 - actividad en seguimiento.
LexLatin,1229 - Call to action botones de suscripción Ágora,Ricardo,14-jul,25-jul,Julio,Media,Listo,,,Pedir feedback a Angela. 21/07 se envío email.
DMS,Facturación & Hosting,Dasha / Ricardo,11-jul,11-jul,Julio,Alta,Listo,,,Autorizada la factura del hosting - Falta acumular horas para factura de soporte
LexLatin,Contacto a Bautista para Google A y Search Console,Edgar,7-jul,11-jul,Julio,Alta,Listo,,,
LexLatin,Cierre Junio,Dasha,7-jul,11-jul,Julio,Alta,Listo,14-jul,,Enviado 14/07/25 17pm
LexLatin,Landing PerfilPlus (Seguimiento) - Kick off,Ricardo / Jonathan,7-jul,22-jul,Julio,Alta,Listo,,,Junta con el equipo de LexLatin
WMS,SSL Instalación,Edgar,7-jul,31-jul,Julio,Baja,Listo,,,
WMS,Revisión de comunicación multisite sobre SSL,Edgar,7-jul,31-jul,Julio,Baja,Listo,,,Se encontró que la API requiere utilizar librería que maneje HTTPS
WMS,Junta de Trabajo con Equipo WMS,Jonathan,7-jul,18/07,Julio,Alta,Listo,,,Seguimiento de cambios
WMS,Revisión de Datos e interfaces de WMS,Jonathan,7-jul,18-jul,Julio,Alta,Listo,,,Preguntar Jonathan si hizo revisión de datos
Lexlatin,Revisión de redireccionamiento de noticias@lexlatin.com,Edgar,7-jul,11-jul,Julio,Baja,Listo,,,
DMS,Revisión de respaldo de Karen,Edgar/Ricardo,14-jul,21-jul,Julio,Alta,Listo,,,
LexLatin,Ágora validar qué procede con Programación,Edgar,14-jul,18-jul,Julio,Alta,Listo,,,
WMS,Actualización de WMS 14/07/2025,Edgar,14-jul,14-jul,Julio,Alta,Listo,,,
LexLatin,Soporte Betty,Ricardo,25-jul,31-jul,Julio,Alta,Listo,,,
RankPilot,Junta de Sincronización Kick Off,Ricardo,7-jul,16-jul,Julio,Media,Listo,,,Junta con Angela - 
RankPilot,Inicio de App,Ricardo / Angela,14-jul,16-jul,Julio,Media,Listo,,,Preparación de PPT
LexLatin,1244 - Riesgo Potencial,Ricardo,14-jul,25-jul,Julio,Media,Listo,,,Se cierra con nota.
LexLatin,Reconfiguración de usuario Noticias noticias@lexlatin.com,Edgar,16-jul,21-jul,Julio,Media,Listo,,,
LexLatin,Revisar con el lider Aplicación de Ágora,Edgar,16-jul,31-jul,Julio,Media,Listo,,,Se tiene avance en consulta y se idendifica error en campo de base de datos (excerpt)
Fivo,Hacer un check point,Jonathan / Ricardo,21-jul,1-ago,Julio,Media,Listo,,,
LexLatin,Correo y pasos de bienvenida,Dasha,25-jul,31-jul,Julio,Media,Listo,1-ago,,Se hizo en conjunto Ricardo-Dasha
WMS ,Automatización del Deploy con Github Actions,Edgar,16-jul,31-jul,Julio,Media,Listo,,,Pruebas de ambientes.
LexLatin,Registro de Tickets de LexLatin,Edgar,16-jul,30-jul,Julio,Alta,Listo,,,
LexLatin,SEO Técnico seguimiento,Edgar,7-jul,25-jul,Julio,Media,Listo,,,Review de razones para no indexar. Se indexaron 3K páginas.
LexLatin,Restructurar servidores LexLatin (optimización de costos),Edgar,3-nov,28-nov,Noviembre,Media,Listo,,,Hacer pruebas con la API de Cloudways con un cron. Validación de certificado. (Buscando ahorro de certificado).
RankPilot,LandingPage,Ricardo/Jonathan,19-ene,19-ene,Enero,Alta,Listo,,,02/02 - foco de la semana - en progreso 26/01 - Retomar Jonathan y Ricardo
LexLatin,SEO con Ana Karen,Edgar,7-jul,26-sept,Julio,Media,Listo,,,Creación de Data Estructurada - etiquetas. Primera respuesta. 28/07/2025 - finales de semana publicar con Mario. Pendiente vista de tags por Mario.
Interno,WMS / Outsourcing - Campaña y Leads,Ricardo/Jonathan,26-ene,30-ene,Enero,Alta,En Curso,,,"27-04 ya esta arriba ambas campañs 20-04 problemas con el pago hay que revisar 13-04 Se activó campaña, se sigue optimizando.
23-03 En revisión porque no funcionan 
09-03 mañana se activa la campaña con nuevo contenido . 
02/03 - meter contenido y agregar dinero 06/03, 
23/02 Campaña pausada par aactivar / revisar porque se pausó. 
09-02 Pendiente a revisar esta semana
26/01 - revisar campaña"
LexLatin,1273 - Contactos,Jonathan,14-jul,25-jul,Julio,Media,Listo,,,Viendola con Edgar- YA vamos a cerrar porqu no requerimos de esas funcionalidades
WMS,Revisión de versión On Line de WMS,Edgar/Manuel,19-ene,19-ene,Enero,Alta,On hold,,,"23/02 - On hold. 09-02 El lider ejecutará cuando esté listo 29-01 Manuel hará cambios relacionado a separación de proyectos WMS para Formatex y WMS (Producto base), Edgar implementará deploy automático en otra rama para ser agregada una vez se tenga los cambios por Manuel. 02/03 Se reactiva "
DBB,Revisar video de Google Analitycs,Jonathan,26-ene,30-ene,Enero,Alta,Listo,,,
Lexalatin,Revisión de tráfico encontrado a páginas con error (Search Console),Edgar,24-oct,31-oct,Octubre,Media,Listo,,,"02/02- se cierra y no hay errores / esperar Angela comparta reporte. 01 -  en revisión - los últimos porblemas registardos fueron hasta 24/08/2025, en seguimiento la tendencia de indexación. por distintas categorías.  Han disminuido. Anliazando acciones a tomar. 19/01 - en progreso - retomado.  15/12 - Según se avance en las otras actividades le podría dedicar tiempo a esas dos actividades
01/12 - Lider dará overview
24/11 - Se crea caso de Search Console. Oct. Se tiene en actividades pendientes por revisar. "
Cote,Propuesta integral de Cote y servicios,Jonathan,26-ene,30-ene,Enero,Alta,Listo,,,16-02 haciendo pruebas con Karo 09-02 Hacer llamada con Antoine (viernes) 02/02 - esta seamana
LexLatin,Optimización de proceso de captura de datos de Ágora (Preparar propuesta),Edgar / Todos,7-ago,29/08,Agosto,Media,Listo,,https://docs.google.com/document/d/1GMhmd-1-BsOy78elHOP4FORZY_7RS04C,"06/10 - Se usará Make ocmo herramienta.
18/08 - se envía email de estatus, en pruebas con la IA. Formulario + lectura de email. 1) agregar la IA al email Gemini 2) el formulario y explicar el proceso y 3) ver si se puede automatizar..."
LexLatin,Sesión de retomar PerfilPlus,Edgar/ Jonathan,16-oct,16-oct,Octubre,Media,Listo,,,
PDG,Actualización de Datos,Mauro,20/10,31/10,Octubre,Alta,Listo,,,
LexLatin,Nuevo Landing Page Perfil Plus - Home,Jonathan,11-ago,5-sept,Agosto,Alta,Listo,,,"Avanzando para junta miércoles. Jonathan envió email con avances , el 03/09 nuevo meet todavía nos deben: 1)  falta video 3) falta datos de página de gracias 4) trabajando en Onboarding ejemplo 5) faltan precios y preguntas frecuentes."
LexLatin,Nuevo Landing Page Perfil Plus - Gracias,Jonathan,11-ago,5-sept,Agosto,Alta,Listo,,,Avanzando para junta miércoles
LexLatin,Nuevo Landing Page Perfil Plus - Onboarding,Edgar/Mario,11-ago,5-sept,Agosto,Alta,Listo,,,Se debe revisra L&F y Filtros. Debe verse el diseño como ellos quieren.
LexLatin,Conexión de Formulario para Perfil Plus Ayudante X,Jonathan,11-ago,25-ago,Agosto,Alta,Listo,,,Responder email
LexLatin,Crear perfilplus.lexlatin.com,Edgar,11-ago,12-ago,Agosto,Alta,Listo,,,
Lexlatin,Despliegue de Entorno de Desarrollo/Pruebas de Agora-LexLatin,Edgar/Mauro,15-ago,15-ago,Agosto,Alta,Listo,,,
LexLatin,Confirmar Stand By  Perfil Plus,Ricardo,22-sept,22-sept,Septiembre,Ala,Listo,,,
LexLatin,Caso de Jira - usuario extra y pago,Edgar / Ricardo,18-ago,23-ago,Agosto,Alta,Listo,,,
RankPilot,Scraper de Chambers,Dasha,18-ago,23-ago,Agosto,Alta,Listo,,,
LexLatin,Caso de prueba Rocio,jonathan/  Ricardo,25-ago,26-sept,Agosto,Alta,Listo,,,tenemos meet con Rocio
LexLatin,Precio de solución de Ágora (costo herramienta),Edgar/ Jonathan,25-ago,12-sept,Agosto,Alta,Listo,,,se revisa con el ejercicio
LexLatin,Reunión con Wendy,Ricardo / Jonathan,25-ago,29-ago,Agosto,Alta,Listo,,,
LexLatin,Reunión de Landing Page,Edgar/ Jonathan,25-ago,29-ago,Agosto,Alta,Listo,,,nueva fecha
LexLatin,1. Personalización de Landing Page LexLatin - Cómo Convertirse en un Rainmaker en la Abogacía,Edgar/ Jonathan,8-sept,12/09/2025,Septiembre,Alta,Listo,,,22 de Octubre - Atento a actividad de integracion de formularios
LexLatin,Reporte Mensual de LexLatin,Dasha,8-sept,12/09/2025,Septiembre,Alta,Listo,,,Enviado 15/09/25
LexLatin,Actualizar Jira - LexLatin (Nancy + Daniel),Edgar,8-sept,8-sept,Septiembre,Alta,Listo,,,Se envió contraseña a Tahimy y se resolvió problema de acceso desde nuevos dispositivos
LexLatin,1. Personalización de Landing Page LexLatin - ¿Conoces las fórmulas para cuantificar daños en la ejecución de proyectos?,Edgar/ Jonathan,8-sept,12/09/2025,Septiembre,Alta,Listo,,,"14 de Octubre - Atento a actividad de integracion de formularios, Informa HEnry que él hace la integración de formularios"
Lexlatin,Reunión ajustes en Landing Page,Edgar/Jonathan,19-sept,30-sept,Septiembre,Alta,Listo,,,
Lexlatin,Ajustes en Landing Page de Poyectos,Edgar/Jonathan,1-oct,10-oct,Octubre,Alta,Listo,,,
Lexlatin,Ajustes en Pagina de Programas,Edgar/Jonathan,1-oct,10-oct,Octubre,Alta,Listo,,,
Lexlatin,Creación de página de gracias customizada para Landing de Proyectos,Edgar/Jonathan,1-oct,10-oct,Octubre,Alta,Listo,,,
DMS,Soporte Autenticator Diana Segura,Edgar,9-oct,10-oct,Octubre,Alta,Listo,,,
WMS,Despliegue de Nueva versión de WMS,Edgar,13-oct,24-oct,Octubre,Alta,listo,,,10/11 - Se descargaron los repositorios - pruebas - pendiente
Lexlatin,Reunión revisión de Actividades Agora,Edgar,14-oct,17-oct,Octubre,Alta,Listo,,,"Se realizó reunión de revisión de avances de actividades relacionadas con Agora-Lexlatin: Se mostraron resultados de analisis de correos electrínicos de transacciones, identificación de información del Material de Contenido, identificación de información faltante. El siguiente paso acordado es enfocarnos en crear correo dirigido a remitente cuando hay información faltante y aprovechar resultados actuales para organizar lista de transacciones y generación de tarjetas Trello."
Ranpilot,Despliegue de plataforma en OVH,Edgar,13-oct,24-oct,Octubre,Alta,Listo,,,Se completó depliegue. Se va a requerir hacer despliegue con contenedores para desplegar varios servicios
Lexlatin,Actualizaciones de contenido en página Programas-Campus,Edgar,24-oct,24-oct,Octubre,Media,Listo,,,
Lexlatin,Corrección de página eventos internacionales,Edgar,24-oct,24-oct,Octubre,Media,Listo,,,
Lexlatin,Agregar Evento Marval Legal Forecast 2026,Edgar,24-oct,31-oct,Octubre,Media,Listo,,,
Lexalatin,Resumen de LexLatin Octubre,Dasha,3-nov,7-nov,Noviembre,Media,Listo,10-nov,,
Movida,Agregar SSL a página de Movida TCI,Edgar,3-nov,7-nov,Noviembre,Media,Listo,,,
Movida,Instalar certificado SSL WMS y RankPilot,Edgar,3-nov,7-nov,Noviembre,Media,Listo,,,10/11 - pendiente.
Lexlatin ,Ajustes Landing page Diplomado Arbitraje,Edgar,3-nov,7-nov,Noviembre,Media,Listo,,,
Movida,Migración de DNS a Cloudflare,Edgar,3-nov,7-nov,Noviembre,Media,LIsto,,,Se revisaron los registros en siteground y se actualizó lista en Cloudflare previo a la migración
Lexlatin ,Ajustes Landing Page Master class Arbitraje,Edgar,3-nov,7-nov,Noviembre,Media,Listo,,,
Lexlatin,Issue de Anuncios de Google en lexlatin.com,Edgar,3-nov,7-nov,Noviembre,Media,Listo,,,Se identificó que el moplayer está insertando anuncios a la página. Se recomienda pedir revisar la configuración de esta herramienta
